'cState;dT (ms);dX (cm);dY (cm); encoder1 (puls); encoder2 (puls); encoder3 (puls)'
0;11;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;5;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;13;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;12;0.00;0.00;0;0;0
0;6;0.00;0.00;0;0;0
0;6;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;13;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;15;0.00;0.00;0;0;0
0;6;0.00;0.00;0;0;0
0;11;0.00;0.00;0;0;0
0;5;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;10;0.00;0.00;0;0;0
0;6;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;11;0.00;0.00;0;0;0
0;5;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;14;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;10;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;6;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;12;0.00;0.00;0;0;0
0;4;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;11;0.00;0.00;0;0;0
0;6;0.00;0.00;0;0;0
0;12;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;11;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;11;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;6;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;10;0.00;0.00;0;0;0
0;6;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;11;0.00;0.00;0;0;0
0;5;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;12;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;14;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;10;0.00;0.00;0;0;0
0;6;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;13;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;10;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;10;0.00;0.00;0;0;0
0;6;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;11;0.00;0.00;0;0;0
0;5;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;11;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;13;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;11;0.00;0.00;0;0;0
0;6;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;18;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;19;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;10;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;11;0.00;0.00;0;0;0
0;6;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;11;0.00;0.00;0;0;0
0;6;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;11;0.00;0.00;0;0;0
0;6;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;10;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;6;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;10;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;11;0.00;0.00;0;0;0
0;6;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;11;0.00;0.00;0;0;0
0;5;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;13;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;17;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;10;0.00;0.00;0;0;0
0;6;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;12;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;11;0.00;0.00;0;0;0
0;13;0.00;0.00;0;0;0
0;5;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;13;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;17;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;12;0.00;0.00;0;0;0
0;5;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;11;0.00;0.00;0;0;0
0;5;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;10;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;11;0.00;0.00;0;0;0
0;6;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;11;0.00;0.00;0;0;0
0;13;0.00;0.00;0;0;0
0;5;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;13;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;11;0.00;0.00;0;0;0
0;6;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;10;0.00;0.00;0;0;0
0;6;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;11;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;6;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;10;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;12;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;10;0.00;0.00;0;0;0
0;6;0.00;0.00;0;0;0
0;10;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;10;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;12;0.00;0.00;0;0;0
0;5;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;11;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;11;0.00;0.00;0;0;0
0;5;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;11;0.00;0.00;0;0;0
0;6;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;10;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;12;0.00;0.00;0;0;0
0;6;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;10;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;10;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;11;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;10;0.00;0.00;0;0;0
0;10;0.00;0.00;0;0;0
0;6;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;12;0.00;0.00;0;0;0
0;5;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;10;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;10;0.00;0.00;0;0;0
0;6;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;10;0.00;0.00;0;0;0
0;6;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;12;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;10;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;13;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;12;0.00;0.00;0;0;0
0;6;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;11;0.00;0.00;0;0;0
0;5;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;12;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;10;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;6;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;11;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;11;0.00;0.00;0;0;0
0;6;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;11;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;10;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;11;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;11;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;15;0.00;0.00;0;0;0
0;6;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;11;0.00;0.00;0;0;0
0;5;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;10;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;10;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;13;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;12;0.00;0.00;0;0;0
0;6;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;10;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;10;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;12;0.00;0.00;0;0;0
0;5;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;10;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;10;0.00;0.00;0;0;0
0;10;0.00;0.00;0;0;0
0;6;0.00;0.00;0;0;0
0;10;0.00;0.00;0;0;0
0;6;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;12;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;10;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;10;0.00;0.00;0;0;0
0;6;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;10;0.00;0.00;0;0;0
0;11;0.00;0.00;0;0;0
0;5;0.00;0.00;0;0;0
0;11;0.00;0.00;0;0;0
0;5;0.00;0.00;0;0;0
0;14;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;10;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;12;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;12;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;10;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;10;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;11;0.00;0.00;0;0;0
0;6;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;11;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;10;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;12;0.00;0.00;0;0;0
0;6;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;10;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;10;0.00;0.00;0;0;0
0;6;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;11;0.00;0.00;0;0;0
0;6;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;9;0.00;0.00;0;0;0
0;11;0.00;0.00;0;0;0
0;6;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;12;0.00;0.00;0;0;0
0;6;0.00;0.00;0;0;0
0;7;0.00;0.00;0;0;0
0;8;0.00;0.00;0;0;0
